UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
DF,BRASILIA,UBS 09 SAMAMBAIA,QN 317 AREA ESPECIAL 01,1,SAMAMBAIA SUL,"QN 317 AREA ESPECIAL 01, SAMAMBAIA SUL, BRASILIA, DF, BRASIL",-15.893679999999998,-48.1143,"Qn 319 Área Especial 1, Samambaia - DF, 72309-102, Brasil","15 53m 37.248s S, 48 6m 51.48s W"
DF,BRASILIA,UBS 01 GUARA,QI 06 AREA ESPECIAL LT A,1,GUARA I,"QI 06 AREA ESPECIAL LT A, GUARA I, BRASILIA, DF, BRASIL",-15.824629999999999,-47.97103,"Qe 23 Área Especial S/N, 6, Guará - DF, 71025-050, Brasil","15 49m 28.668s S, 47 58m 15.708s W"
DF,BRASILIA,UBS 2 PLANALTINA,ENTRE QUADRAS 1 10 AREA ESPECIAL,S/N,PLANALTINA,"ENTRE QUADRAS 1 10 AREA ESPECIAL, PLANALTINA, BRASILIA, DF, BRASIL",-15.63694,-47.6546,"Área Especial 1, Planaltina - DF, Brasil","15 38m 12.984s S, 47 39m 16.56s W"
DF,BRASILIA,CERPIS,AV WL 04 SETOR HOSPITALAR OESTE,S/N,PLANALTINA,"AV WL 04 SETOR HOSPITALAR OESTE, PLANALTINA, BRASILIA, DF, BRASIL",-15.62655,-47.65278,"Setor Hospitalar, Planaltina - DF, Brasil","15 37m 35.58s S, 47 39m 10.008s W"
DF,BRASILIA,UBS 6 VALE DAS ACACIAS SOBRADINHO II,CONDOMINIO VALE DAS ACACIAS QUADRA 12 LOTE,1,SOBRADINHO II,"CONDOMINIO VALE DAS ACACIAS QUADRA 12 LOTE, SOBRADINHO II, BRASILIA, DF, BRASIL",-15.624360000000001,-47.83596,"Condomínio Vale das Acácias, 12, Sobradinho II, Sobradinho - DF, 73070-056, Brasil","15 37m 27.696s S, 47 50m 9.456s W"
DF,BRASILIA,UBS 08 SAMAMBAIA,QS 314 CONJUNTO 05 LOTE 01,1,SAMAMBAIA SUL,"QS 314 CONJUNTO 05 LOTE 01, SAMAMBAIA SUL, BRASILIA, DF, BRASIL",-15.876929999999998,-48.0677,"QS 314 Conjunto 5, Samambaia - DF, Brasil","15 52m 36.948s S, 48 4m 3.72s W"
DF,BRASILIA,UBS 2 CATINGUEIRO FERCAL,ROD DF 205 OESTE KM 13 NUCLEO RURAL,13,FERCAL,"ROD DF 205 OESTE KM 13 NUCLEO RURAL, FERCAL, BRASILIA, DF, BRASIL",-15.698889999999999,-47.89927,"Núcleo Rural Boa Esperança II, Brasília - DF, Brasil","15 41m 56.004s S, 47 53m 57.372s W"
DF,BRASILIA,UBS 10 TAQUARA PLANALTINA,NUCLEO RURAL TAQUARA QUADRA 1 AREA ESPECIAL,1,PLANALTINA,"NUCLEO RURAL TAQUARA QUADRA 1 AREA ESPECIAL, PLANALTINA, BRASILIA, DF, BRASIL",-15.61776,-47.64091,"Quadra 18 Área Especial 1, Planaltina - DF, 73356-050, Brasil","15 37m 3.936s S, 47 38m 27.276s W"
DF,BRASILIA,UBS 1 VARJAO,VILA VARJAO QUADRA 5,5,VILA VARJAO DO TORTO,"VILA VARJAO QUADRA 5, VILA VARJAO DO TORTO, BRASILIA, DF, BRASIL",-15.70995,-47.875640000000004,"Varjão do Torto Q 5, 73340, Brasília","15 42m 35.82s S, 47 52m 32.304s W"
DF,BRASILIA,UBS 18 CAIC BERNARDO SAYAO,QNN 28 LOTES H I J K GUARIROBA,S/N,CEILANDIA,"QNN 28 LOTES H I J K GUARIROBA, CEILANDIA, BRASILIA, DF, BRASIL",-15.8301,-48.11705,"Qnn 28, Ceilândia - DF, Brasil","15 49m 48.36s S, 48 7m 1.38s W"
DF,BRASILIA,UBS 2 T R E SAO SEBASTIAO,QUADRA 101 CONJ 02 LOTE,1,SAO SEBASTIAO,"QUADRA 101 CONJ 02 LOTE, SAO SEBASTIAO, BRASILIA, DF, BRASIL",-15.90194,-47.77612,"Quadra 101 Conjunto 4, 2, São Sebastião - DF, 71692-020, Brasil","15 54m 6.984s S, 47 46m 34.032s W"
DF,BRASILIA,UBS 6 SANTA MARIA,QR 202 302 LOTE 2,2,SANTA MARIA,"QR 202 302 LOTE 2, SANTA MARIA, BRASILIA, DF, BRASIL",-16.03847,-48.03391,"Qr 202, Santa Maria - DF, 72502-400, Brasil","16 2m 18.492s S, 48 2m 2.076s W"
DF,BRASILIA,UBS 15 VILA OLIMPICA CEILANDIA,QNP 21 AREA ESPECIAL,S/N,CEILANDIA,"QNP 21 AREA ESPECIAL, CEILANDIA, BRASILIA, DF, BRASIL",-15.84031,-48.12685,"Qnp 24 Área Especial 1, Ceilândia - DF, 72235-210, Brasil","15 50m 25.116s S, 48 7m 36.66s W"
DF,BRASILIA,UBS 1 SAO SEBASTIAO,CENTRO DE MULTIPLAS ATIVIDADES CONJ,10,CENTRO,"CENTRO DE MULTIPLAS ATIVIDADES CONJ, CENTRO, BRASILIA, DF, BRASIL",-15.832239999999999,-47.95001,Setor de Múltiplas Atividades Sul,"15 49m 56.064s S, 47 57m 0.036s W"
DF,BRASILIA,UBS 01 ESTRUTURAL,AREA ESPECIAL 02 AVENIDA CENTRAL CENTRO DE SAUDE,2,ESTRUTURAL,"AREA ESPECIAL 02 AVENIDA CENTRAL CENTRO DE SAUDE, ESTRUTURAL, BRASILIA, DF, BRASIL",-15.782520000000002,-47.998670000000004,Ec 02 da Estrutural,"15 46m 57.072s S, 47 59m 55.212s W"
DF,BRASILIA,UBS 3 PARANOA PARQUE,QUADRA 02 CONJ A A E ANTIGA BIBLIOTECA,S/N,PARANOA,"QUADRA 02 CONJ A A E ANTIGA BIBLIOTECA, PARANOA, BRASILIA, DF, BRASIL",-15.78015,-47.78042,"Quadra 2 Conjunto a, Paranoá - DF, 71570-201, Brasil","15 46m 48.54s S, 47 46m 49.512s W"
DF,BRASILIA,UBS 2 ASA NORTE,EQN 114 115,1,ASA NORTE,"EQN 114 115, ASA NORTE, BRASILIA, DF, BRASIL",-15.77694,-47.87869,"Asa Norte, Brasília, DF, Brasil","15 46m 36.984s S, 47 52m 43.284s W"
DF,BRASILIA,UBS 6 GAMA,ENTRE QUADRA,S/N,SETOR OESTE,"ENTRE QUADRA, SETOR OESTE, BRASILIA, DF, BRASIL",-15.7898658,-47.8803227,"Entre Eixos, SBN Quadra 1, Setor Comercial Norte, Brasília, Plano Piloto, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 70002-900, Brasil","15 47m 23.5169s S, 47 52m 49.1617s W"
