UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RJ,PETROPOLIS,UBS QUITANDINHA,RUA GENERAL RONDON,490,QUITANDINHA,"RUA GENERAL RONDON, QUITANDINHA, PETROPOLIS, RJ, BRASIL",-22.5319383,-43.211322,"Rua General Rondon, Quitandinha, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25650-023, Brasil","22 31m 54.9779s S, 43 12m 40.7592s W"
RJ,PETROPOLIS,POSTO DE SAUDE DO CARANGOLA,ESTRADA DO CARANGOLA,860,CARANGOLA,"ESTRADA DO CARANGOLA, CARANGOLA, PETROPOLIS, RJ, BRASIL",-22.46492,-43.15906,"Estrada do Carangola, 25715, Petrópolis","22 27m 53.712s S, 43 9m 32.616s W"
RJ,PETROPOLIS,POSTO DE SAUDE DO BONFIM,ESTRADA DO BONFIM,S/N,CORREAS,"ESTRADA DO BONFIM, CORREAS, PETROPOLIS, RJ, BRASIL",-22.45424,-43.10792,"Estrada do Bonfim, 25730-010, Petrópolis","22 27m 15.264s S, 43 6m 28.512s W"
RJ,PETROPOLIS,POSTO DE SAUDE DA VILA RICA,RUA A,S/N,PEDRO DO RIO,"RUA A, PEDRO DO RIO, PETROPOLIS, RJ, BRASIL",-22.2885603,-43.1202368,"Rua A, Pedro do Rio, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25750-175, Brasil","22 17m 18.8171s S, 43 7m 12.8525s W"
RJ,PETROPOLIS,POSTO DE SAUDE COMUNIDADE MENINO JESUS DE PRAGA,RUA DIAS DE OLIVEIRA,560,DUARTE DA SILVEIRA,"RUA DIAS DE OLIVEIRA, DUARTE DA SILVEIRA, PETROPOLIS, RJ, BRASIL",-22.5062229,-43.2266291,"Rua Dias de Oliveira, Duarte da Silveira, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25725-630, Brasil","22 30m 22.4024s S, 43 13m 35.8648s W"
RJ,PETROPOLIS,CENTRO MEDICO DR JORGE CHIMELI,ESTRADA UNIAO INDUSTRIA,S/N,PEDRO DO RIO,"ESTRADA UNIAO INDUSTRIA, PEDRO DO RIO, PETROPOLIS, RJ, BRASIL",-22.2890952,-43.1088468,"Estrada União e Indústria, Pedro do Rio, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25750-222, Brasil","22 17m 20.7427s S, 43 6m 31.8485s W"
RJ,PETROPOLIS,POSTO DE SAUDE DO BREJAL,ESTRADA DO BREJAL,S/N,POSSE,"ESTRADA DO BREJAL, POSSE, PETROPOLIS, RJ, BRASIL",-22.2593501,-43.0476978,"Estrada do Brejal, Posse, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25845-000, Brasil","22 15m 33.6604s S, 43 2m 51.7121s W"
RJ,PETROPOLIS,POSTO DE SAUDE DA POSSE,ESTRADA UNIAO INDUSTRIA,33530,POSSE,"ESTRADA UNIAO INDUSTRIA, POSSE, PETROPOLIS, RJ, BRASIL",-22.251642,-43.0737189,"Estrada Uniao e Industria, Posse, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25845-000, Brasil","22 15m 5.9112s S, 43 4m 25.388s W"
RJ,PETROPOLIS,POSTO DE SAUDE MACHADO FAGUNDES,RUA DR PAULO HUDGE,238,CASCATINHA,"RUA DR PAULO HUDGE, CASCATINHA, PETROPOLIS, RJ, BRASIL",-22.51253,-43.21828,"Rua Doutor Paulo Herve, 25660, 25665, Petrópolis","22 30m 45.108s S, 43 13m 5.808s W"
RJ,PETROPOLIS,USF DR WILLIAM JORGE DA SILVA SEABRA,ESTRADA VELHA DA ESTRELA,S/N,MEIO DA SERRA,"ESTRADA VELHA DA ESTRELA, MEIO DA SERRA, PETROPOLIS, RJ, BRASIL",-22.5542634,-43.1837972,"Estrada Velha da Estrela, Meio da Serra, Inhomirim, Magé, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 25635-114, Brasil","22 33m 15.3482s S, 43 11m 1.66992s W"
RJ,PETROPOLIS,POSTO DE SAUDE DA FAMILIA BATAILLARD,RUA BATAILLARD,35,MOSELA,"RUA BATAILLARD, MOSELA, PETROPOLIS, RJ, BRASIL",-22.491871,-43.1990592,"Rua Bataillard, Mosela, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25676-160, Brasil","22 29m 30.7356s S, 43 11m 56.6131s W"
RJ,PETROPOLIS,POSTO DE SAUDE SAO SEBASTIAO,RUA SAO SEBASTIAO,625,SAO SEBASTIAO,"RUA SAO SEBASTIAO, SAO SEBASTIAO, PETROPOLIS, RJ, BRASIL",-22.5367354,-43.1936566,"Rua São Sebastião, Siméria, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25645-005, Brasil","22 32m 12.2474s S, 43 11m 37.1638s W"
RJ,PETROPOLIS,USF PEDRAS BRANCAS,RUA PEDRAS BRANCAS,1190,MOSELA,"RUA PEDRAS BRANCAS, MOSELA, PETROPOLIS, RJ, BRASIL",-22.4929877,-43.206473200000005,"Rua Pedras Brancas, Mosela, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25675-130, Brasil","22 29m 34.7557s S, 43 12m 23.3035s W"
RJ,PETROPOLIS,UBS AMAZONAS,RUA ALAGOAS,S/N,QUITANDINHA,"RUA ALAGOAS, QUITANDINHA, PETROPOLIS, RJ, BRASIL",-22.5324697,-43.2231626,"Rua Alagoas, Quitandinha, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25650-500, Brasil","22 31m 56.8909s S, 43 13m 23.3854s W"
RJ,PINHEIRAL,UNIDADE SAUDE DA FAMILIA IPE,RUA BENEDITO HONORATO,304,PARAISO,"RUA BENEDITO HONORATO, PARAISO, PINHEIRAL, RJ, BRASIL",-22.51916,-43.99761,"Rua Benedito Honorato, 27197-000, Pinheiral","22 31m 8.976s S, 43 59m 51.396s W"
RJ,PINHEIRAL,UNIDADE DE SAUDE DA FAMILIA DA PALMEIRAS,RUA AVELINO GUABIROBA,53,PALMEIRAS,"RUA AVELINO GUABIROBA, PALMEIRAS, PINHEIRAL, RJ, BRASIL",-22.51784,-44.0088,"Rua Avelino Gabiroba, 27197-000, Pinheiral","22 31m 4.224s S, 44 0m 31.68s W"
RJ,PINHEIRAL,UNIDADE SAUDE DA FAMILIA BELA VISTA,BC SAO GERALDO,75,ROLAMAO,"BC SAO GERALDO, ROLAMAO, PINHEIRAL, RJ, BRASIL",-22.93208,-43.66479,"Beco São Geraldo, 23520, Rio de Janeiro","22 55m 55.488s S, 43 39m 53.244s W"
